date,milk
01/Jan/1962,589 
01/Feb/1962,561 
01/Mar/1962,640 
01/Apr/1962,656 
01/May/1962,727 
01/Jun/1962,697 
01/Jul/1962,640 
01/Aug/1962,599 
01/Sep/1962,568 
01/Oct/1962,577 
01/Nov/1962,553 
01/Dec/1962,582 
01/Jan/1963,600 
01/Feb/1963,566 
01/Mar/1963,653 
01/Apr/1963,673 
01/May/1963,742 
01/Jun/1963,716 
01/Jul/1963,660 
01/Aug/1963,617 
01/Sep/1963,583 
01/Oct/1963,587 
01/Nov/1963,565 
01/Dec/1963,598 
01/Jan/1964,628 
01/Feb/1964,618 
01/Mar/1964,688 
01/Apr/1964,705 
01/May/1964,770 
01/Jun/1964,736 
01/Jul/1964,678 
01/Aug/1964,639 
01/Sep/1964,604 
01/Oct/1964,611 
01/Nov/1964,594 
01/Dec/1964,634 
01/Jan/1965,658 
01/Feb/1965,622 
01/Mar/1965,709 
01/Apr/1965,722 
01/May/1965,782 
01/Jun/1965,756 
01/Jul/1965,702 
01/Aug/1965,653 
01/Sep/1965,615 
01/Oct/1965,621 
01/Nov/1965,602 
01/Dec/1965,635 
01/Jan/1966,677 
01/Feb/1966,635 
01/Mar/1966,736 
01/Apr/1966,755 
01/May/1966,811 
01/Jun/1966,798 
01/Jul/1966,735 
01/Aug/1966,697 
01/Sep/1966,661 
01/Oct/1966,667 
01/Nov/1966,645 
01/Dec/1966,688 
01/Jan/1967,713 
01/Feb/1967,667 
01/Mar/1967,762 
01/Apr/1967,784 
01/May/1967,837 
01/Jun/1967,817 
01/Jul/1967,767 
01/Aug/1967,722 
01/Sep/1967,681 
01/Oct/1967,687 
01/Nov/1967,660 
01/Dec/1967,698 
01/Jan/1968,717 
01/Feb/1968,696 
01/Mar/1968,775 
01/Apr/1968,796 
01/May/1968,858 
01/Jun/1968,826 
01/Jul/1968,783 
01/Aug/1968,740 
01/Sep/1968,701 
01/Oct/1968,706 
01/Nov/1968,677 
01/Dec/1968,711 
01/Jan/1969,734 
01/Feb/1969,690 
01/Mar/1969,785 
01/Apr/1969,805 
01/May/1969,871 
01/Jun/1969,845 
01/Jul/1969,801 
01/Aug/1969,764 
01/Sep/1969,725 
01/Oct/1969,723 
01/Nov/1969,690 
01/Dec/1969,734 
01/Jan/1970,750 
01/Feb/1970,707 
01/Mar/1970,807 
01/Apr/1970,824 
01/May/1970,886 
01/Jun/1970,859 
01/Jul/1970,819 
01/Aug/1970,783 
01/Sep/1970,740 
01/Oct/1970,747 
01/Nov/1970,711 
01/Dec/1970,751 
01/Jan/1971,804 
01/Feb/1971,756 
01/Mar/1971,860 
01/Apr/1971,878 
01/May/1971,942 
01/Jun/1971,913 
01/Jul/1971,869 
01/Aug/1971,834 
01/Sep/1971,790 
01/Oct/1971,800 
01/Nov/1971,763 
01/Dec/1971,800 
01/Jan/1972,826 
01/Feb/1972,799 
01/Mar/1972,890 
01/Apr/1972,900 
01/May/1972,961 
01/Jun/1972,935 
01/Jul/1972,894 
01/Aug/1972,855 
01/Sep/1972,809 
01/Oct/1972,810 
01/Nov/1972,766 
01/Dec/1972,805 
01/Jan/1973,821 
01/Feb/1973,773 
01/Mar/1973,883 
01/Apr/1973,898 
01/May/1973,957 
01/Jun/1973,924 
01/Jul/1973,881 
01/Aug/1973,837 
01/Sep/1973,784 
01/Oct/1973,791 
01/Nov/1973,760 
01/Dec/1973,802 
01/Jan/1974,828 
01/Feb/1974,778 
01/Mar/1974,889 
01/Apr/1974,902 
01/May/1974,969 
01/Jun/1974,947 
01/Jul/1974,908 
01/Aug/1974,867 
01/Sep/1974,815 
01/Oct/1974,812 
01/Nov/1974,773 
01/Dec/1974,813 
01/Jan/1975,834 
01/Feb/1975,782 
01/Mar/1975,892 
01/Apr/1975,903 
01/May/1975,966 
01/Jun/1975,937 
01/Jul/1975,896 
01/Aug/1975,858 
01/Sep/1975,817 
01/Oct/1975,827 
01/Nov/1975,797 
01/Dec/1975,843 